"TickerNo se encontraron coincidencias 		 		 		 	ETF  (i)","Precio","Vol.","Volumen*Precio","Cambio a partir del porcentaje de apertura","Cambio %","Rating técnico","Valoración de medias móviles","Valoración de los osciladores","Vol relativo","Patrón","Gross Profit (Quarterly QoQ Growth)","Gross Profit (Quarterly YoY Growth)","Gross Profit (TTM YoY Growth)","Margen bruto","Margen neto","Ingresos","Ingresos","Ingresos anuales","BPA (TTM)","Previsión BPA","EBITDA (TTM YoY Growth)","RSI14","Nivel MACD","Volatilidad S","Volatilidad","Rendimiento trimestral","Rendimiento anual","Rendimiento semestral","Rendimiento mensual","Rendimiento semanal","Rend. YTD","Sector"
"VOODVANGUARD S&P 500 ETF ETF https://s3-symbol-logo.tradingview.com/vanguard.svg","347.62USD","1.507M","523.793M","−0.42%","−0.97%","Sell","Sell","Neutro","0.32","—","—","—","—","—","—","—","—","—","—","—","—","50.76 N","0.8897385 B","1.61%","1.20%","−10.61%","−19.45%","−4.69%","3.93%","−1.46%","−20.62%","Miscelánea"
"XLFDSPDR SELECT SECTOR FUND - FINANCIAL ETF https://s3-symbol-logo.tradingview.com/sector/financial.svg","34.14USD","17.399M","593.993M","−0.23%","−0.90%","Buy","Strong Buy","Neutro","0.43","—","—","—","—","—","—","—","—","—","—","—","—","60.17 N","0.59951312 B","1.37%","1.20%","−2.23%","−14.71%","2.06%","9.92%","0.41%","−13.22%","Miscelánea"
"VYMDVANGUARD HIGH DIVIDEND YIELD ETF ETF https://s3-symbol-logo.tradingview.com/vanguard.svg","107.39USD","689.895K","74.088M","−0.17%","−0.70%","Buy","Strong Buy","Neutro","0.37","—","—","—","—","—","—","—","—","—","—","—","—","63.71 N","1.93582873 B","1.34%","0.89%","−0.56%","−2.55%","−0.13%","10.35%","0.83%","−4.32%","Miscelánea"
"VEADVANGUARD FTSE DEVELOPED MARKETS ETF ETF https://s3-symbol-logo.tradingview.com/vanguard.svg","39.85USD","7.258M","289.216M","−0.03%","−0.62%","Neutro","Buy","Sell","0.33","—","—","—","—","—","—","—","—","—","—","—","—","60.72 N","0.43031725 B","1.19%","0.96%","−8.62%","−24.77%","−7.35%","7.99%","2.28%","−22.33%","Miscelánea"
"SLVDISHARES SILVER TRUST ETF https://s3-symbol-logo.tradingview.com/ishares.svg","19.59USD","10.508M","205.859M","−0.36%","−0.56%","Buy","Strong Buy","Sell","0.54","—","—","—","—","—","—","—","—","—","—","—","—","66.61 N","0.39684407 B","2.61%","1.92%","3.82%","−13.01%","2.78%","7.58%","7.40%","−6.89%","Miscelánea"
"EWGDISHARES MSCI GERMANY INDEX FUND ETF https://s3-symbol-logo.tradingview.com/ishares.svg","22.73USD","2.659M","60.449M","0.40%","−0.52%","Buy","Strong Buy","Sell","0.61","—","—","—","—","—","—","—","—","—","—","—","—","61.95 N","0.41794012 B","1.43%","1.08%","−5.72%","−34.26%","−10.61%","12.70%","3.75%","−31.37%","Miscelánea"
"VGKDVANGUARD FTSEEUROPEAN ETF ETF https://s3-symbol-logo.tradingview.com/vanguard.svg","51.83USD","2.906M","150.596M","0.17%","−0.50%","Buy","Strong Buy","Sell","0.56","—","—","—","—","—","—","—","—","—","—","—","—","61.64 N","0.78910792 B","1.28%","0.94%","−7.91%","−26.17%","−7.18%","10.91%","2.94%","−24.63%","Miscelánea"
"GDXDVANECK GOLD MINERS ETF ETF https://s3-symbol-logo.tradingview.com/vaneck.svg","26.55USD","17.264M","458.357M","0.08%","−0.41%","Buy","Strong Buy","Sell","0.56","—","—","—","—","—","—","—","—","—","—","—","—","61.46 N","0.38971005 B","4.02%","2.54%","−2.68%","−19.62%","−11.85%","10.72%","6.76%","−15.50%","Miscelánea"
"GLDDSPDR GOLD TRUST ETF https://s3-symbol-logo.tradingview.com/spdr-gold-trust.svg","159.34USD","3.475M","553.744M","−0.01%","−0.07%","Buy","Buy","Neutro","0.58","—","—","—","—","—","—","—","—","—","—","—","—","61.24 N","0.28333936 B","1.21%","0.88%","−4.68%","−6.67%","−5.33%","2.18%","3.36%","−5.64%","Miscelánea"
"IAUDISHARES GOLD TRUST SHARES OF THE ISHARES GOLD TRUST ETF https://s3-symbol-logo.tradingview.com/ishares.svg","32.49USD","4.017M","130.52M","−0.00%","−0.00%","Buy","Buy","Neutro","0.60","—","—","—","—","—","—","—","—","—","—","—","—","61.38 N","0.05937127 B","1.20%","0.86%","−4.61%","−6.50%","−5.22%","2.23%","3.37%","−5.50%","Miscelánea"
"XLVDSPDR SELECT SECTOR FUND - HEALTH CARE ETF https://s3-symbol-logo.tradingview.com/sector/health-care.svg","132.93USD","5.294M","703.755M","0.20%","0.05%","Buy","Strong Buy","Neutro","0.68","—","—","—","—","—","—","—","—","—","—","—","—","62.77 N","1.86356749 B","1.55%","0.88%","0.41%","−0.57%","3.78%","8.15%","0.31%","−5.25%","Miscelánea"
"BILDSPDR BLOOMBERG 1-3 MONTH T-BILL ETF ETF https://s3-symbol-logo.tradingview.com/spdr-sandp500-etf-tr.svg","91.52USD","1.605M","146.899M","0.01%","0.05%","Buy","Strong Buy","Neutro","0.19","—","—","—","—","—","—","—","—","—","—","—","—","51.80 N","−0.00918122 S","0.02%","0.05%","0.08%","0.08%","0.09%","0.03%","0.11%","0.09%","Miscelánea"
"VNQDVANGUARD REAL ESTATE ETF ETF https://s3-symbol-logo.tradingview.com/vanguard.svg","82.32USD","2.474M","203.628M","0.75%","0.50%","Buy","Buy","Buy","0.45","—","—","—","—","—","—","—","—","—","—","—","—","52.71 N","−0.21006405 B","2.01%","1.24%","−18.24%","−25.17%","−13.45%","6.15%","−0.13%","−29.16%","Miscelánea"
"PSQDPROSHARES SHORT QQQ ETF https://s3-symbol-logo.tradingview.com/proshares.svg","14.88USD","7.216M","107.343M","0.51%","1.26%","Buy","Strong Buy","Neutro","0.38","—","—","—","—","—","—","—","—","—","—","—","—","55.37 N","0.14304522 B","2.05%","1.48%","21.73%","36.47%","6.94%","0.64%","3.23%","37.73%","Miscelánea"
"TANDINVESCO SOLAR ETF ETF https://s3-symbol-logo.tradingview.com/invesco.svg","75.30USD","975.358K","73.444M","1.52%","1.91%","Buy","Strong Buy","Neutro","0.88","—","—","—","—","—","—","—","—","—","—","—","—","58.31 N","−0.11478179 B","4.33%","4.09%","−17.36%","−22.54%","25.77%","6.88%","4.95%","−3.08%","Miscelánea"
"VIXYDPROSHARES TRUST VIX SHORT-TERM FUTURES ETF ETF https://s3-symbol-logo.tradingview.com/proshares.svg","14.56USD","2.829M","41.172M","1.78%","1.93%","Sell","Strong Sell","Neutro","0.43","—","—","—","—","—","—","—","—","—","—","—","—","42.13 N","−0.51347159 S","4.28%","3.15%","8.30%","−15.13%","−26.42%","−14.73%","2.00%","−2.51%","Miscelánea"
"FAZDDIREXION FINANCIAL BEAR 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","20.10USD","2.326M","46.757M","0.55%","2.50%","Sell","Strong Sell","Neutro","0.73","—","—","—","—","—","—","—","—","—","—","—","—","39.02 N","−1.52329995 S","4.17%","3.29%","−2.09%","8.71%","−24.35%","−26.99%","−1.42%","7.72%","Miscelánea"
"SPXSDDIREXION DAILY S&P 500 BEAR 3X ETF https://s3-symbol-logo.tradingview.com/direxion.svg","24.02USD","14.572M","350.026M","1.31%","2.96%","Neutro","Sell","Neutro","0.56","—","—","—","—","—","—","—","—","—","—","—","—","47.52 N","−0.4702427 S","5.01%","3.49%","29.28%","36.63%","−2.91%","−12.84%","4.12%","47.72%","Miscelánea"
"EDZDDIREXION EMERGING MARKETS BEAR 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","17.58USD","356.873K","6.275M","0.94%","3.49%","Neutro","Sell","Buy","1.05","—","—","—","—","—","—","—","—","—","—","—","—","42.79 N","−0.16628399 S","4.06%","3.58%","36.41%","101.18%","16.91%","−8.37%","−10.52%","86.66%","Miscelánea"
"TZADDIREXION SMALL CAP BEAR 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","35.63USD","7.577M","269.96M","1.54%","4.36%","Sell","Strong Sell","Neutro","0.54","—","—","—","—","—","—","—","—","—","—","—","—","47.25 N","−1.3555254 S","6.16%","4.87%","24.67%","59.78%","−23.24%","−15.00%","9.53%","33.90%","Miscelánea"
"LABDDDIREXION DAILY S&P BIOTECH BEAR 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","22.90USD","5.254M","120.326M","2.14%","4.57%","Buy","Buy","Buy","0.45","—","—","—","—","—","—","—","—","—","—","—","—","52.55 N","−0.29692121 B","9.61%","5.85%","39.38%","24.25%","−66.52%","−4.07%","16.84%","−9.56%","Miscelánea"
"TECSDDIREXION TECHNOLOGY BEAR 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","47.46USD","1.136M","53.895M","1.95%","5.00%","Buy","Strong Buy","Neutro","0.43","—","—","—","—","—","—","—","—","—","—","—","—","50.75 N","−0.19129977 S","6.80%","5.84%","60.39%","44.61%","−1.97%","−8.50%","9.94%","69.86%","Miscelánea"
"SOXSDDIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","52.83USD","10.524M","556.003M","1.42%","5.85%","Sell","Strong Sell","Neutro","0.67","—","—","—","—","—","—","—","—","—","—","—","—","42.85 N","−2.17842125 S","8.72%","7.78%","46.18%","28.70%","−4.21%","−17.23%","−7.36%","56.77%","Miscelánea"
"DRIPDDIREXION DAILY S&P OIL & GAS EXP. & PROD. BEAR 2X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","11.99USD","4.529M","54.298M","3.45%","7.05%","Sell","Strong Sell","Neutro","1.12","—","—","—","—","—","—","—","—","—","—","—","—","40.46 N","−1.0887132 S","6.47%","7.95%","−31.80%","−72.81%","−48.76%","−15.50%","−1.32%","−77.59%","Miscelánea"
"YANGDDIREXION DAILY FTSE CHINA BEAR 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","26.77USD","3.548M","94.967M","2.06%","9.80%","Neutro","Neutro","Neutro","0.59","—","—","—","—","—","—","—","—","—","—","—","—","48.86 N","1.07585398 S","7.56%","9.57%","74.97%","51.33%","34.12%","20.31%","−17.71%","30.33%","Miscelánea"
